Date,Gold,Nifty50,Gold_Return,Nifty50_Return
18-12-2023,2026.300049,21418.65039,0.25728925148431614,-0.1771012684147144
19-12-2023,2038.400024,21453.09961,0.5971462620242951,0.16083749149800042
20-12-2023,2034.5,21150.15039,-0.1913277057535967,-1.4121466152088646
21-12-2023,2039.099976,21255.05078,0.22609859916440378,0.4959794047119326
22-12-2023,2057.100098,21349.40039,0.8827483797684943,0.4438926586276315
26-12-2023,2058.199951,21441.34961,0.05346618772072986,0.4306875992782899
27-12-2023,2081.899902,21654.75,1.1514892412899602,0.9952749891288137
28-12-2023,2073.899902,21778.69922,-0.38426439197747353,0.5723881365520267
29-12-2023,2062.399902,21731.40039,-0.5545108512185037,-0.2171793160014035
02-01-2024,2064.399902,21665.80078,0.09697440336671193,-0.30186554397195753
03-01-2024,2034.199951,21517.34961,-1.4628924837063906,-0.6851866289522834
04-01-2024,2042.300049,21658.59961,0.398195762221798,0.6564470186158688
05-01-2024,2042.400024,21710.80078,0.004895216060396557,0.24101821419653113
08-01-2024,2026.599976,21513.0,-0.7736020277289257,-0.9110708628592645
09-01-2024,2026.400024,21544.84961,-0.00986637730030493,0.14804820341189906
10-01-2024,2021.699951,21618.69922,-0.2319420126497218,0.3427715270090337
11-01-2024,2014.300049,21647.19922,-0.36602375126634223,0.13183031832755265
12-01-2024,2057.199951,21894.55078,2.1297672122531086,1.1426492521557918
